UE,Video,Delay_ms
2,highway,247
3,highway,179
5,highway,252
2,football,235
7,highway,287
8,highway,258
9,highway,319
5,football,261
7,football,292
8,football,285
13,highway,312
9,football,321
15,highway,251
1,football,389
1,highway,390
17,highway,408
13,football,402
14,football,0
14,highway,0
19,highway,248
15,football,525
20,highway,0
21,highway,435
17,football,549
19,football,601
24,highway,293
11,football,493
23,highway,502
12,football,503
11,highway,553
3,football,624
12,highway,413
25,highway,473
21,football,729
27,highway,366
23,football,665
24,football,638
29,highway,393
25,football,763
31,highway,545
27,football,656
33,highway,376
29,football,671
34,highway,476
31,football,1087
37,highway,399
33,football,557
34,football,705
39,highway,448
40,highway,1288
41,highway,1245
37,football,606
42,highway,1664
43,highway,1745
39,football,644
44,highway,600
40,football,2783
45,highway,722
41,football,1812
46,highway,4909
42,football,1748
47,highway,603
43,football,0
48,highway,589
44,football,978
49,highway,1077
45,football,741
50,highway,508
46,football,3737
51,highway,2263
47,football,647
52,highway,1115
48,football,835
53,highway,3582
49,football,1011
50,football,772
55,highway,839
51,football,1698
56,highway,243
52,football,1366
57,highway,881
58,highway,379
59,highway,983
55,football,496
60,highway,1112
56,football,0
57,football,722
62,highway,1108
58,football,0
59,football,511
64,highway,802
60,football,1197
65,highway,659
66,highway,762
62,football,1110
68,highway,1472
64,football,1189
65,football,761
70,highway,641
66,football,1153
72,highway,713
68,football,1706
73,highway,1568
74,highway,1720
70,football,782
75,highway,732
76,highway,823
72,football,866
73,football,1671
78,highway,727
74,football,2266
35,football,1446
35,highway,2591
75,football,887
80,highway,1336
76,football,1131
82,highway,635
78,football,967
84,highway,1125
80,football,1690
85,highway,598
86,highway,561
82,football,753
87,highway,544
88,highway,724
84,football,1505
89,highway,716
85,football,760
90,highway,742
86,football,907
91,highway,735
87,football,672
88,football,805
93,highway,528
89,football,927
94,highway,776
90,football,694
95,highway,639
91,football,919
96,highway,944
97,highway,640
93,football,638
98,highway,537
94,football,944
99,highway,665
95,football,836
100,highway,523
96,football,983
97,football,616
98,football,649
53,football,799
99,football,780
100,football,532
92,football,246
92,highway,505
26,football,56
26,highway,27
