UE,Video,FramesLost
2,highway,125
3,highway,113
5,highway,123
2,football,365
7,highway,123
8,highway,122
9,highway,122
5,football,373
7,football,377
8,football,378
13,highway,120
9,football,382
15,highway,124
1,football,387
1,highway,125
17,highway,125
13,football,389
14,football,409
14,highway,144
19,highway,130
15,football,388
20,highway,144
21,highway,128
17,football,393
19,football,388
24,highway,123
11,football,396
23,highway,126
12,football,392
11,highway,127
3,football,394
12,highway,125
25,highway,126
21,football,395
27,highway,124
23,football,399
24,football,394
29,highway,120
25,football,399
31,highway,130
27,football,397
33,highway,122
29,football,400
34,highway,135
31,football,404
37,highway,126
33,football,399
34,football,396
39,highway,127
40,highway,139
41,highway,138
37,football,396
42,highway,139
43,highway,142
39,football,395
44,highway,134
40,football,409
45,highway,133
41,football,408
46,highway,141
42,football,404
47,highway,131
43,football,409
48,highway,124
44,football,400
49,highway,134
45,football,400
50,highway,121
46,football,409
51,highway,137
47,football,399
52,highway,131
48,football,403
53,highway,139
49,football,404
50,football,403
55,highway,131
51,football,406
56,highway,143
52,football,406
57,highway,131
58,highway,143
59,highway,132
55,football,402
60,highway,132
56,football,409
57,football,403
62,highway,138
58,football,409
59,football,401
64,highway,139
60,football,405
65,highway,130
66,highway,139
62,football,408
68,highway,134
64,football,409
65,football,401
70,highway,126
66,football,408
72,highway,128
68,football,407
73,highway,136
74,highway,134
70,football,401
75,highway,131
76,highway,138
72,football,402
73,football,405
78,highway,128
74,football,407
35,football,408
35,highway,143
75,football,400
80,highway,135
76,football,405
82,highway,130
78,football,404
84,highway,131
80,football,407
85,highway,131
86,highway,129
82,football,400
87,highway,123
88,highway,131
84,football,406
89,highway,131
85,football,399
90,highway,134
86,football,399
91,highway,130
87,football,403
88,football,403
93,highway,124
89,football,402
94,highway,134
90,football,393
95,highway,132
91,football,402
96,highway,132
97,highway,126
93,football,398
98,highway,128
94,football,402
99,highway,132
95,football,398
100,highway,126
96,football,403
97,football,400
98,football,395
53,football,386
99,football,398
100,football,393
92,football,377
92,highway,126
26,football,243
26,highway,83
