UE,Video,Jitter_ms
2,highway,18
3,highway,15
5,highway,20
2,football,14
7,highway,22
8,highway,22
9,highway,24
5,football,15
7,football,18
8,football,18
13,highway,27
9,football,20
15,highway,23
1,football,21
1,highway,35
17,highway,32
13,football,25
14,football,0
14,highway,0
19,highway,28
15,football,29
20,highway,0
21,highway,39
17,football,29
19,football,28
24,highway,31
11,football,27
23,highway,37
12,football,28
11,highway,38
3,football,28
12,highway,38
25,highway,36
21,football,37
27,highway,36
23,football,36
24,football,30
29,highway,35
25,football,36
31,highway,50
27,football,33
33,highway,37
29,football,36
34,highway,39
31,football,73
37,highway,36
33,football,34
34,football,38
39,highway,37
40,highway,102
41,highway,76
37,football,34
42,highway,98
43,highway,331
39,football,35
44,highway,49
40,football,616
45,highway,48
41,football,163
46,highway,639
42,football,106
47,highway,47
43,football,0
48,highway,42
44,football,55
49,highway,64
45,football,38
50,highway,34
46,football,332
51,highway,123
47,football,42
52,highway,56
48,football,49
53,highway,235
49,football,56
50,football,47
55,highway,59
51,football,100
56,highway,327
52,football,96
57,highway,51
58,highway,290
59,highway,72
55,football,34
60,highway,57
56,football,0
57,football,38
62,highway,88
58,football,0
59,football,33
64,highway,72
60,football,83
65,highway,44
66,highway,68
62,football,101
68,highway,77
64,football,266
65,football,47
70,highway,41
66,football,240
72,highway,44
68,football,103
73,highway,82
74,highway,76
70,football,42
75,highway,44
76,highway,88
72,football,52
73,football,106
78,highway,50
74,football,189
35,football,213
35,highway,188
75,football,44
80,highway,76
76,football,95
82,highway,45
78,football,74
84,highway,51
80,football,137
85,highway,46
86,highway,43
82,football,34
87,highway,43
88,highway,46
84,football,90
89,highway,51
85,football,40
90,highway,37
86,football,32
91,highway,48
87,football,48
88,football,43
93,highway,42
89,football,51
94,highway,58
90,football,34
95,highway,48
91,football,43
96,highway,54
97,highway,44
93,football,29
98,highway,45
94,football,47
99,highway,43
95,football,42
100,highway,39
96,football,48
97,football,27
98,football,33
53,football,30
99,football,44
100,football,26
92,football,17
92,highway,30
26,football,3
26,highway,3
