UE,Video,PacketLoss_percent
2,highway,82.9285
3,highway,80.7078
5,highway,80.7078
3,football,91.2884
8,highway,84.8022
9,highway,85.4268
5,football,92.2157
12,highway,100
8,football,92.3621
13,highway,87.5087
9,football,93.8263
15,highway,85.1492
16,highway,84.941
12,football,99.7804
17,highway,81.7488
13,football,95.6808
18,highway,82.304
15,football,96.4129
16,football,96.4617
17,football,96.8521
22,highway,100
18,football,97.1938
23,highway,89.2436
24,highway,100
1,football,97.755
1,highway,88.4108
21,highway,91.1173
7,football,97.267
19,football,95.876
20,football,94.6559
7,highway,89.313
19,highway,90.4233
25,highway,87.8557
21,football,96.9985
27,highway,88.7578
23,football,95.876
29,highway,84.6634
25,football,98.2674
31,highway,91.1173
27,football,98.4139
33,highway,84.2471
29,football,98.6579
34,highway,96.5302
35,highway,94.5871
31,football,99.1459
36,highway,90.4927
33,football,98.2918
38,highway,92.7134
34,football,97.8526
39,highway,92.7134
35,football,97.6086
40,highway,90.2845
36,football,98.3407
41,highway,93.4074
42,highway,96.8078
38,football,99.1459
43,highway,98.4733
39,football,96.3153
44,highway,97.9875
40,football,99.1703
45,highway,97.7099
41,football,99.6828
46,highway,88.7578
42,football,97.9014
47,highway,89.1742
43,football,100
48,highway,100
44,football,99.7072
49,highway,87.9944
45,football,99.8536
50,highway,92.0194
46,football,98.9507
51,highway,100
47,football,97.0229
52,highway,88.4802
48,football,100
49,football,96.4861
54,highway,93.7543
50,football,96.8765
55,highway,85.4962
51,football,100
56,highway,92.991
52,football,98.3651
58,highway,97.2241
54,football,98.0478
59,highway,90.5621
55,football,96.7301
11,football,96.9253
60,highway,91.6724
11,highway,89.9375
56,football,98.0966
62,highway,91.2561
58,football,98.7799
63,highway,95.0729
59,football,97.0961
64,highway,96.1832
60,football,96.6325
66,highway,92.4358
67,highway,89.1048
63,football,99.0727
68,highway,98.4733
64,football,95.9248
69,highway,97.3629
70,highway,88.2026
66,football,97.6818
71,highway,94.4483
67,football,98.3163
72,highway,93.1992
68,football,99.8292
69,football,99.7072
74,highway,94.7259
70,football,97.3158
71,football,97.4866
76,highway,95.2811
72,football,97.511
78,highway,90.0763
74,football,98.5847
80,highway,89.5906
76,football,96.8521
81,highway,92.0194
82,highway,88.8272
78,football,95.9004
83,highway,90.3539
84,highway,88.0638
80,football,96.6813
81,football,95.0464
86,highway,90.7703
82,football,97.2426
83,football,95.9004
88,highway,90.0069
84,football,96.9741
89,highway,92.297
90,highway,94.4483
86,football,93.5578
91,highway,86.3983
92,highway,84.941
88,football,94.9976
89,football,94.7047
94,highway,88.2026
90,football,93.7286
95,highway,87.5087
91,football,94.9976
96,highway,85.982
92,football,94.9244
98,highway,85.0798
94,football,93.6066
99,highway,84.4552
95,football,94.1679
100,highway,87.6475
96,football,94.3387
98,football,94.3387
99,football,93.5822
85,football,92.6061
85,highway,86.1207
100,football,92.2157
62,football,33.675
37,football,31.3812
37,highway,41.4296
