UE,Video,Throughput_Mbps
2,highway,0.156381
3,highway,0.309241
5,highway,0.194098
2,football,0.517626
7,highway,0.175701
8,highway,0.206532
9,highway,0.189676
5,football,0.423328
7,football,0.374077
8,football,0.37381
13,highway,0.223458
9,football,0.303095
15,highway,0.181666
1,football,0.242251
1,highway,0.15899
17,highway,0.148076
13,football,0.236996
14,football,0
14,highway,0
19,highway,0.134576
15,football,0.239633
20,highway,0
21,highway,0.140669
17,football,0.171314
19,football,0.236546
24,highway,0.189058
11,football,0.151282
23,highway,0.150702
12,football,0.196305
11,highway,0.134297
3,football,0.162373
12,highway,0.172309
25,highway,0.151037
21,football,0.149534
27,highway,0.186686
23,football,0.110017
24,football,0.176567
29,highway,0.223082
25,football,0.100333
31,highway,0.134108
27,football,0.133274
33,highway,0.214179
29,football,0.101448
34,highway,0.0891289
31,football,0.0473542
37,highway,0.166446
33,football,0.124236
34,football,0.15677
39,highway,0.165089
40,highway,0.0574155
41,highway,0.053893
37,football,0.14169
42,highway,0.0202556
43,highway,0.0290029
39,football,0.165154
44,highway,0.0749462
40,football,0.00619112
45,highway,0.0852535
41,football,0.0158142
46,highway,0.0114055
42,football,0.0357671
47,highway,0.116978
43,football,0
48,highway,0.167832
44,football,0.0960892
49,highway,0.0686343
45,football,0.103254
50,highway,0.216598
46,football,0.00194075
51,highway,0.0296297
47,football,0.119977
52,highway,0.0875101
48,football,0.0650904
53,highway,0.0185386
49,football,0.0552129
50,football,0.0574167
55,highway,0.108252
51,football,0.0254339
56,highway,0.0589587
52,football,0.0260621
57,highway,0.0969369
58,highway,0.0534481
59,highway,0.105119
55,football,0.0920083
60,highway,0.0804774
56,football,0
57,football,0.0655855
62,highway,0.0670224
58,football,0
59,football,0.095213
64,highway,0.0931765
60,football,0.0354897
65,highway,0.127191
66,highway,0.110963
62,football,0.0418045
68,highway,0.0603905
64,football,0.0208355
65,football,0.0913167
70,highway,0.156647
66,football,0.023223
72,highway,0.146583
68,football,0.0154564
73,highway,0.0444053
74,highway,0.0512985
70,football,0.080483
75,highway,0.0972868
76,highway,0.0516837
72,football,0.0656489
73,football,0.0274035
78,highway,0.137218
74,football,0.0111982
35,football,0.0353079
35,highway,0.00285221
75,football,0.0888717
80,highway,0.0565825
76,football,0.0568681
82,highway,0.111432
78,football,0.0373635
84,highway,0.0808769
80,football,0.0161623
85,highway,0.0999902
86,highway,0.132359
82,football,0.0848383
87,highway,0.199875
88,highway,0.0961127
84,football,0.0143275
89,highway,0.0960961
85,football,0.110123
90,highway,0.0870083
86,football,0.113694
91,highway,0.102856
87,football,0.0620945
88,football,0.0633365
93,highway,0.173498
89,football,0.0604459
94,highway,0.0579176
90,football,0.18538
95,highway,0.0906773
91,football,0.0534339
96,highway,0.0750628
97,highway,0.154111
93,football,0.108576
98,highway,0.122995
94,football,0.0652806
99,highway,0.0778185
95,football,0.105498
100,highway,0.15742
96,football,0.051321
97,football,0.0872272
98,football,0.152114
53,football,0.266475
99,football,0.114502
100,football,0.176949
92,football,0.384658
92,highway,0.152723
26,football,2.20913
26,highway,0.715579
